,symbol,regularMarketPrice,Change,Change Percentage,previousClose
0,COUP,65.4,-6.18,-8.63,71.58
1,ENPH,200.51,-4.26,-2.08,204.77
2,TIIAY,2.84,-0.1,-3.57,2.945
3,GLNG,23.94,-1.22,-4.85,25.16
4,PLTK,13.43,-0.48,-3.45,13.91
5,BML-PG,18.69,-0.17,-0.91,18.8616
6,AMRC,54.65,-1.27,-2.27,55.92
7,VCISY,23.88,-0.23,-0.95,24.11
8,CRWD,173.55,-5.29,-2.96,178.84
9,NOG,37.01,0.74,2.04,36.27
10,LAC,22.91,-1.38,-5.68,24.29
11,ISBC,13.87,-0.35,-2.46,14.22
12,HMHC,21.03,0.0,0.0,21.03
13,JXHLY,8.558,-0.08,-0.95,8.64
14,MMI,38.43,-0.92,-2.34,39.35
15,MNSO,5.8,-1.1,-15.94,6.9
16,GPN,122.09,-5.39,-4.23,127.48
17,MAC,10.69,-0.65,-5.73,11.34
18,RL,103.18,-1.26,-1.21,104.44
19,MHK,140.93,1.39,1.0,139.54
20,COTY,6.97,-0.23,-3.19,7.2
21,BHVN,144.54,-0.21,-0.15,144.75
22,TTDKY,34.8,-0.47,-1.33,35.27
23,GTBIF,11.15,-0.2,-1.76,11.35
24,ARVN,43.03,-1.73,-3.87,44.76
25,COOP,43.67,-0.82,-1.84,44.49
26,PARA,29.15,-1.59,-5.17,30.74
27,ALSMY,2.73,-0.02,-0.73,2.75
28,IBRX,3.87,-0.34,-8.08,4.21
29,FMCCJ,4.71,0.0,0.0,4.71
30,ATASF,24.954,0.0,0.0,24.954
31,TABCF,0.68,0.0,0.0,0.68
32,EBR-B,8.58,-0.03,-0.35,8.61
33,KPLUY,13.0,-0.5,-3.7,13.5
34,PSMT,74.51,-1.86,-2.44,76.37
35,FLMMF,18.4,-0.8,-4.14,19.1955
36,NEX,11.6,-0.31,-2.6,11.91
37,WBDWV,24.47,1.7,7.47,22.77
38,CTRA,34.96,-0.82,-2.29,35.78
39,WDFC,187.78,-4.5,-2.34,192.28
40,FNMAL,5.6,0.23,4.28,5.37
41,KRYPF,2.63,0.0,0.0,2.63
42,PIAIF,6.26,0.07,1.13,6.19
43,DISCB,24.45,1.43,6.21,23.02
44,PSFE,2.66,-0.16,-5.67,2.82
45,DISCA,24.43,1.36,5.9,23.07
46,DISCK,24.42,1.34,5.81,23.08
47,HAL,42.21,-0.76,-1.77,42.97
48,EBR,8.68,0.03,0.35,8.65
49,EOG,142.49,-3.25,-2.23,145.74
50,BVN,7.87,-0.28,-3.44,8.15
51,NOV,20.57,-0.64,-3.02,21.21
52,SVNLF,9.766,-0.25,-2.46,10.012
53,MGY,29.19,-0.21,-0.71,29.4
54,HNP,18.06,-1.69,-8.56,19.75
55,RLX,2.16,-0.19,-8.09,2.35
56,PTEN,18.73,-1.02,-5.16,19.75
57,APA,50.04,-1.13,-2.21,51.17
58,SVNLY,4.84,-0.0,-0.08,4.844
59,CPG,10.45,-0.28,-2.61,10.73
60,CACC,544.18,-16.54,-2.95,560.72
61,LBRT,17.3,-1.2,-6.49,18.5
62,MRRTY,3.17,0.04,1.12,3.135
63,ZIJMF,1.39,-0.01,-0.71,1.4
64,EQRX,4.1,-0.26,-5.96,4.36
65,FTI,8.12,-0.22,-2.64,8.34
66,HES,126.86,-2.78,-2.14,129.64
67,BKGFY,10.45,-0.14,-1.32,10.5901
68,ACHC,68.59,-1.35,-1.93,69.94
69,FNMAJ,3.22,0.07,2.22,3.15
70,KCDMY,7.47,-0.11,-1.45,7.58
71,STOHF,37.704,-0.3,-0.78,38.0
72,CAH,52.35,-1.2,-2.24,53.55
73,YASKY,71.08,0.71,1.01,70.37
74,RYDAF,30.25,-0.52,-1.69,30.77
75,EGO,7.9,-0.28,-3.42,8.18
76,BSM,16.74,-0.49,-2.84,17.23
77,ERF,17.82,-0.22,-1.22,18.04
78,PXD,276.78,-7.11,-2.5,283.89
79,SWTX,24.27,-1.73,-6.65,26.0
