,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
71,AAVMY,ABN AMRO Bank N.V.,13.27,+0.49,+3.83%,"51,422","49,806",12.058B,10.17
72,BAP,Credicorp Ltd.,151.67,+5.60,+3.83%,"908,081","544,831",12.097B,12.85
73,ATKR,Atkore Inc.,100.24,+3.69,+3.82%,"302,394","529,657",4.496B,6.79
74,DCP,"DCP Midstream, LP",39.02,+1.43,+3.80%,"901,420","695,527",8.131B,24.54
75,ITGR,Integer Holdings Corporation,87.38,+3.20,+3.80%,"331,960","172,885",2.892B,29.99
76,EVO,Evotec SE,14.20,+0.52,+3.80%,"77,286","73,185",5.072B,17.61
77,LNTH,"Lantheus Holdings, Inc.",63.76,+2.33,+3.79%,"809,821",1.136M,4.343B,N/A
78,ACT,"Enact Holdings, Inc.",24.70,+0.90,+3.78%,"220,656","120,226",4.022B,7.36
79,OI,"O-I Glass, Inc.",13.73,+0.50,+3.78%,"817,567",1.043M,2.144B,14.86
80,NOG,"Northern Oil and Gas, Inc.",29.17,+1.06,+3.77%,"693,991",1.229M,2.253B,N/A
81,IBP,"Installed Building Products, Inc.",84.83,+3.08,+3.77%,"315,200","243,724",2.483B,21.15
82,FUJHY,Subaru Corporation,7.45,+0.27,+3.76%,"140,195","197,647",11.48B,22.27
83,CIVI,"Civitas Resources, Inc.",65.49,+2.37,+3.75%,"410,025","986,639",5.563B,13.82
84,ASMIY,ASM International NV,337.88,+12.15,+3.73%,"41,380","13,191",16.41B,31.00
85,AIRC,Apartment Income REIT Corp.,54.84,+1.95,+3.69%,"758,772","818,091",9.232B,18.98
86,EPOKY,Epiroc AB (publ),21.55,+0.76,+3.66%,"67,483","145,773",25.995B,46.65
87,ASAZY,ASSA ABLOY AB (publ),13.46,+0.47,+3.62%,"110,314","296,675",29.902B,75.62
88,WTFC,Wintrust Financial Corporation,95.91,+3.34,+3.61%,"710,248","452,124",5.491B,12.65
89,CRGY,Crescent Energy Company,18.72,+0.65,+3.60%,"226,422","260,670",3.173B,N/A
90,EQRX,"EQRx, Inc.",4.6400,+0.1600,+3.57%,1.089M,1.427M,2.263B,N/A
91,MOH,"Molina Healthcare, Inc.",347.53,+11.96,+3.56%,"295,136","639,644",20.391B,30.89
92,ENIA,Enel Américas S.A.,5.83,+0.20,+3.55%,1.974M,1.395M,12.509B,16.66
93,DTRUY,Daimler Truck Holding AG,13.74,+0.47,+3.54%,"55,184","81,444",22.613B,8.93
94,BDC,Belden Inc.,53.09,+1.81,+3.53%,"153,501","320,829",2.348B,37.63
95,CNC,Centene Corporation,89.01,+3.02,+3.51%,1.972M,2.62M,51.882B,39.04
96,ENIC,Enel Chile S.A.,1.4800,+0.0500,+3.50%,"373,517","887,409",2.047B,3.70
97,ETRN,Equitrans Midstream Corporation,8.65,+0.29,+3.47%,15.762M,7.995M,3.757B,N/A
98,AVTR-PA,"Avantor, Inc.",100.34,+3.36,+3.46%,"18,985","94,850",16.493B,118.05
99,KIGRY,KION GROUP AG,15.34,+0.51,+3.44%,"83,724","61,950",8.044B,13.14
