,symbol,regularMarketPrice,Change,Change Percentage,previousClose
0,BEKE,15.0,0.39,2.67,14.61
1,KOS,8.4,0.34,4.22,8.06
2,MTDR,66.56,2.85,4.47,63.71
3,CPT,142.63,2.79,2.0,139.84
4,HPQ,39.36,0.09,0.23,39.27
5,CDEV,9.57,0.7,7.89,8.87
6,QCOM,141.89,1.45,1.03,140.44
7,BILI,28.03,2.54,9.96,25.49
8,EDU,14.78,0.67,4.75,14.11
9,JD,61.74,1.53,2.54,60.21
10,UMC,9.05,0.17,1.91,8.88
11,VIV,9.91,-0.28,-2.75,10.19
12,WBA,43.0,-0.39,-0.9,43.39
13,INFY,19.38,-0.05,-0.26,19.43
14,NLSN,25.57,0.23,0.91,25.34
15,KEY,19.72,0.06,0.31,19.66
16,VIPS,10.22,0.13,1.29,10.09
17,ERIC,8.31,0.09,1.09,8.22
18,FCEL,4.25,0.0,0.0,4.25
19,X,25.8,0.3,1.18,25.5
20,BMY,76.59,1.34,1.78,75.25
21,HBAN,13.75,0.05,0.36,13.7
22,ALLG,7.94,-0.44,-5.25,8.38
23,JBHT,176.57,-4.5,-2.49,181.07
24,HUBG,77.63,-0.99,-1.26,78.62
25,SDXAY,15.03,0.15,0.98,14.8838
26,SNDR,24.45,-0.57,-2.28,25.02
27,WERN,40.61,-1.22,-2.92,41.83
28,LSTR,151.66,-3.24,-2.09,154.9
29,SMBMF,0.089,0.0,2.42,0.0869
30,NPNYY,16.41,0.3,1.86,16.11
31,NSC,249.4,4.72,1.93,244.68
32,ODFL,267.04,-2.01,-0.75,269.05
33,R,82.45,-1.39,-1.66,83.84
34,SCBFF,7.75,0.0,0.0,7.75
35,KNX,49.21,-0.76,-1.52,49.97
36,COMP,6.09,-0.32,-4.99,6.41
37,MKSI,121.55,-0.36,-0.3,121.91
38,TFII,85.23,0.05,0.06,85.18
39,LLDTF,0.58,0.0,0.0,0.58
40,CRDO,13.65,0.91,7.14,12.74
41,ACLS,63.64,0.71,1.13,62.93
42,CP,76.41,0.72,0.95,75.69
43,DNUT,14.3,0.02,0.14,14.28
44,UNP,228.75,3.58,1.59,225.17
45,AAWW,72.13,0.44,0.61,71.69
46,ON,65.48,-0.53,-0.8,66.01
47,CNI,116.64,-1.09,-0.93,117.73
48,ALE,63.33,-0.02,-0.03,63.35
49,ENTG,112.68,1.26,1.13,111.42
50,HTZ,18.13,-0.83,-4.38,18.96
51,ACIW,28.38,0.65,2.34,27.73
52,FWRD,97.16,-1.5,-1.52,98.66
53,MPWR,473.44,7.34,1.57,466.1
54,DAVE,1.37,-0.09,-6.16,1.46
55,FDX,221.37,-1.48,-0.66,222.85
56,HRI,126.74,1.38,1.1,125.36
57,CHRW,107.09,-2.25,-2.06,109.34
58,MATX,94.54,-0.03,-0.03,94.57
59,SGIOY,13.07,0.21,1.63,12.86
60,TBK,74.32,0.23,0.31,74.09
61,GPS,10.57,-0.12,-1.12,10.69
62,TUIFY,1.14,0.01,0.88,1.13
63,XPO,55.57,-0.93,-1.65,56.5
64,DXC,35.69,0.29,0.82,35.4
65,EXPI,14.76,0.19,1.3,14.57
66,FNF,42.61,0.2,0.47,42.41
67,FICO,421.88,5.29,1.27,416.59
68,UPS,185.51,-1.6,-0.86,187.11
69,CXMSF,0.4525,0.0,0.0,0.4525
70,WFG,92.07,-1.74,-1.85,93.81
71,VRRM,16.5,-0.02,-0.12,16.52
72,COLB,31.27,0.45,1.46,30.82
73,DIOD,76.46,0.88,1.16,75.58
74,RF,22.0,0.22,1.01,21.78
75,SITM,229.21,10.05,4.59,219.16
76,BRDG,17.7,0.4,2.31,17.3
77,AZO,2119.98,20.92,1.0,2099.06
78,AMAT,115.67,0.67,0.58,115.0
79,WEX,174.1,3.1,1.81,171.0
80,TNL,52.4,0.39,0.75,52.01
81,MXL,40.51,0.54,1.35,39.97
82,PCAR,88.98,0.34,0.38,88.64
83,EPAM,341.67,9.58,2.88,332.09
84,CF,92.4,-1.91,-2.03,94.31
85,LOGI,60.24,0.1,0.17,60.14
86,ZETA,8.32,0.11,1.34,8.21
87,LSCC,54.36,1.69,3.21,52.67
88,FAF,60.2,-0.35,-0.58,60.55
89,ALPMY,15.65,0.09,0.58,15.56
90,EXPD,109.31,-0.31,-0.28,109.62
91,CRI,76.86,-1.79,-2.28,78.65
92,VORB,4.04,0.04,1.0,4.0
93,CMPGY,22.73,0.03,0.13,22.7
94,GXO,54.77,-0.52,-0.94,55.29
95,FITB,39.56,0.11,0.28,39.45
96,MTB,180.61,2.75,1.55,177.86
97,TSCO,201.11,2.02,1.01,199.09
98,SEAS,54.62,0.77,1.43,53.85
99,TGDLF,1.7445,0.0,0.0,1.7445
100,FUTU,46.68,2.98,6.82,43.7
101,YMM,7.96,0.84,11.8,7.12
102,OLLI,50.99,2.51,5.18,48.48
103,NRGV,13.56,0.35,2.65,13.21
104,NEGG,5.16,0.25,5.09,4.91
105,SPWR,19.36,0.48,2.54,18.88
106,CZOO,1.29,0.01,0.78,1.28
107,ZNTL,27.1,0.91,3.47,26.19
108,KIND,3.56,0.15,4.4,3.41
109,NVNXF,2.45,-0.1,-3.92,2.55
110,UNLRY,6.19,0.0,0.0,6.19
111,RLAY,16.22,1.02,6.71,15.2
112,PACB,4.88,-0.11,-2.11,4.985
113,NVX,10.1,-0.28,-2.7,10.38
114,SHLS,19.08,0.42,2.25,18.66
115,BIDU,150.58,3.59,2.44,146.99
116,RCUS,23.19,0.85,3.8,22.34
117,ASOMY,18.37,-1.53,-7.69,19.9
118,YY,36.69,1.03,2.89,35.66
119,BYDDF,38.125,-0.2,-0.52,38.325
120,BYDDY,76.47,-0.01,-0.01,76.48
121,LILAK,9.13,-0.07,-0.76,9.2
122,EVVTY,104.23,0.12,0.12,104.11
123,CITAF,0.2082,0.01,6.93,0.1947
124,POYYF,3.09,0.04,1.31,3.05
125,OKTA,99.74,4.74,4.99,95.0
126,LILA,9.14,-0.07,-0.76,9.21
127,HDB,58.43,0.12,0.21,58.31
128,NFE,51.48,0.73,1.44,50.75
129,BLDP,7.57,0.01,0.13,7.56
130,PTAIY,10.06,0.11,1.11,9.95
131,DQ,64.01,2.28,3.69,61.73
132,LLKKF,1.055,0.04,4.46,1.01
133,LAW,22.15,0.86,4.04,21.29
134,TSP,8.59,0.0,0.0,8.59
135,PD,27.89,1.21,4.54,26.68
136,BE,19.18,0.3,1.59,18.88
137,NOVA,23.21,0.45,1.98,22.76
138,MPNGY,52.51,2.1,4.17,50.41
139,ZLNDY,18.69,-0.78,-4.01,19.47
140,APPN,50.63,1.12,2.26,49.51
141,LU,6.41,0.07,1.1,6.34
142,VMEO,8.25,-0.2,-2.37,8.45
143,BOLSY,7.45,-0.46,-5.82,7.91
144,ATER,3.01,0.03,1.01,2.98
145,SBFM,1.29,-0.05,-3.73,1.34
146,SST,9.26,0.46,5.23,8.8
147,LILM,3.05,0.19,6.64,2.86
148,NNOX,10.8,0.47,4.55,10.33
149,GGR,5.57,0.01,0.18,5.56
150,MFA,14.06,0.11,0.79,13.95
151,TEVA,8.93,-0.13,-1.43,9.06
152,SAVA,28.88,0.95,3.4,27.93
153,ANY,1.03,0.01,0.98,1.02
154,RCON,0.85,0.03,3.85,0.8185
155,RH,306.09,-4.12,-1.33,310.21
156,BRCC,9.38,-0.3,-3.1,9.68
157,CVE.TO,30.95,0.9,3.0,30.05
158,GNRC,292.78,8.44,2.97,284.34
159,CGNT,7.2,-0.09,-1.23,7.29
160,ENB,47.53,0.42,0.89,47.11
161,VRTX,271.86,3.86,1.44,268.0
162,RCL,56.74,-0.06,-0.11,56.8
163,TANH,0.251,-0.01,-3.46,0.26
164,IMRA,1.2,0.04,3.45,1.16
165,AYI,185.49,3.43,1.88,182.06
166,GLG,0.23,0.01,2.68,0.224
167,JBLU,10.68,-0.01,-0.09,10.69
168,SAVE,22.67,0.47,2.12,22.2
169,CFLT,22.44,0.04,0.18,22.4
170,NET,54.73,0.82,1.52,53.91
171,PLAY,39.06,1.81,4.86,37.25
172,MMYT,28.33,0.37,1.32,27.96
173,SNOW,131.26,3.19,2.49,128.07
174,EGFEY,0.53,-0.01,-1.85,0.54
175,WRBY,16.93,-0.73,-4.13,17.66
176,SHAK,47.3,0.64,1.37,46.66
177,ULCC,10.43,0.18,1.76,10.25
178,DDOG,108.06,4.9,4.75,103.16
179,LSPD,27.47,0.02,0.07,27.45
180,NTCO,7.04,-0.1,-1.4,7.14
181,AGL,20.46,0.91,4.65,19.55
182,OLO,11.09,0.31,2.88,10.78
183,NTLA,48.1,2.91,6.44,45.19
184,TDOC,34.82,0.21,0.61,34.61
185,AI,19.74,0.55,2.87,19.19
186,ONEM,8.52,0.14,1.67,8.38
187,TEAM,200.85,10.58,5.56,190.27
188,TXG,46.35,1.38,3.07,44.97
189,TASK,23.48,0.16,0.69,23.32
190,RIOT,6.17,-0.2,-3.14,6.37
191,ABLZF,30.72,0.3,0.99,30.42
192,EMBK,0.9319,-0.01,-1.41,0.9452
193,CZR,52.37,0.03,0.06,52.34
194,MDB,295.59,21.0,7.65,274.59
195,MTTR,4.995,-0.5,-9.18,5.5
196,TWST,30.79,0.72,2.39,30.07
197,LYSCF,6.92,0.21,3.06,6.7145
198,ZM,115.04,4.03,3.63,111.01
199,MSTR,240.0,4.56,1.94,235.44
200,LYSDY,6.94,0.22,3.27,6.72
201,SG,16.42,-0.11,-0.67,16.53
202,ARVL,1.74,0.02,1.16,1.72
203,CFRUY,11.47,-0.06,-0.52,11.53
204,VCSA,3.76,-0.26,-6.47,4.02
205,ADYEY,15.71,-0.3,-1.87,16.01
206,IGT,22.07,0.1,0.46,21.97
207,ANZLY,2.15,0.0,0.0,2.15
208,GOGO,20.83,0.18,0.87,20.65
209,BBAJF,2.275,0.0,0.0,2.275
210,NGCRF,0.8565,0.0,0.0,0.8565
211,BCCLF,2.25,0.0,0.22,2.245
212,RPM,88.98,0.61,0.69,88.37
213,MOS,57.18,-2.38,-4.0,59.56
214,PTR,54.93,0.72,1.33,54.21
215,FMCKM,2.95,-0.05,-1.67,3.0
216,SMPL,39.09,0.25,0.64,38.84
217,BEPTF,1.27,-0.07,-5.15,1.339
218,IMBBY,23.12,0.21,0.92,22.91
219,RES,9.56,0.15,1.59,9.41
220,CRK,21.48,0.43,2.04,21.05
221,RRC,37.02,1.31,3.67,35.71
222,IOVA,8.32,0.79,10.49,7.53
223,YETI,47.93,0.83,1.76,47.1
224,SMAR,40.58,1.44,3.68,39.14
225,MARA,8.69,-0.24,-2.69,8.93
226,FVRR,41.3,-0.45,-1.08,41.75
227,TTD,53.21,0.55,1.04,52.66
228,BILL,136.22,7.07,5.47,129.15
229,COUR,17.07,0.27,1.61,16.8
230,VSCO,39.13,-1.31,-3.24,40.44
231,DADA,7.89,-0.02,-0.25,7.91
232,RVLV,32.06,0.1,0.31,31.96
233,ATASY,12.05,0.04,0.33,12.01
234,DELKY,14.9,0.0,0.0,14.9
235,WFRD,34.18,1.36,4.14,32.82
236,PBF,43.74,3.44,8.54,40.3
237,LXU,19.07,0.16,0.85,18.91
238,VAL,60.13,0.54,0.91,59.59
239,PCRX,62.34,1.7,2.8,60.64
240,PPC,32.19,0.0,0.0,32.19
241,EQT,49.78,0.76,1.55,49.02
242,VLO,145.08,6.39,4.61,138.69
243,AZZVF,0.5592,0.0,0.0,0.5592
244,TKAMY,9.79,0.16,1.66,9.63
245,LAZR,9.64,-0.13,-1.33,9.77
246,PENN,34.3,0.44,1.3,33.86
247,SKIN,13.55,-0.29,-2.1,13.84
248,CD,7.34,0.06,0.82,7.28
249,ANET,104.3,0.79,0.76,103.51
