,symbol,regularMarketPrice,Change,Change Percentage,previousClose
250,CALX,38.69,0.94,2.49,37.75
251,GCTAY,3.84,0.05,1.32,3.79
252,HUBS,370.29,14.69,4.13,355.6
253,RAIFY,3.19,-0.06,-1.88,3.251
254,FSLY,12.62,0.19,1.53,12.43
255,TSM,93.84,0.73,0.78,93.11
256,MRVL,61.02,1.28,2.14,59.74
257,CCCS,9.77,0.32,3.39,9.45
258,PAGS,17.02,0.38,2.28,16.64
259,MLCO,5.85,-0.04,-0.68,5.89
260,DAN,17.54,0.23,1.33,17.31
261,GPI,186.07,0.32,0.17,185.75
262,RYKKY,10.85,0.08,0.71,10.7735
263,ATHM,36.47,1.48,4.23,34.99
264,SES,5.32,0.36,7.26,4.96
265,LUV,44.88,0.46,1.04,44.42
266,LEG,39.23,0.29,0.74,38.94
267,STNE,12.13,0.07,0.58,12.06
268,TROX,19.88,0.43,2.21,19.45
269,KEP,9.22,0.03,0.33,9.19
270,KD,11.05,0.04,0.36,11.01
271,LEVI,19.18,0.01,0.05,19.17
272,PIPR,126.59,-2.24,-1.74,128.83
273,HTHT,33.81,-0.04,-0.12,33.85
274,LVS,35.83,0.33,0.93,35.5
275,CFX,39.06,-1.53,-3.77,40.59
276,PSX,109.92,3.9,3.68,106.02
277,LKNCY,11.965,-0.04,-0.29,12.0
278,TCOM,23.3,0.53,2.33,22.77
279,ABG,186.87,-1.04,-0.55,187.91
280,HMC,25.59,0.36,1.43,25.23
281,WYNN,67.46,0.62,0.93,66.84
282,PNFP,80.69,0.68,0.85,80.01
283,QFIN,16.84,0.44,2.68,16.4
284,CWK,17.78,-0.08,-0.45,17.86
285,LEA,142.25,1.44,1.02,140.81
286,CC,44.79,0.36,0.81,44.43
287,SMMYY,10.51,0.05,0.48,10.46
288,BWA,39.83,-0.25,-0.62,40.08
289,CDK,54.48,0.05,0.09,54.43
290,EURN,13.57,0.19,1.42,13.38
291,NXE,5.12,0.44,9.4,4.68
292,LW,69.05,0.07,0.1,68.98
293,BAK,18.55,-0.79,-4.08,19.34
294,CIXX,12.61,0.03,0.24,12.58
295,CCJ,27.0,2.03,8.13,24.97
296,AJRD,42.35,0.83,2.0,41.52
297,STZ,246.24,0.37,0.15,245.87
298,DPSTF,41.54,-0.93,-2.19,42.47
299,ZS,162.81,4.24,2.67,158.57
