,symbol,regularMarketPrice,Change,Change Percentage,previousClose
129,PHJMF,0.0641,0.0,0.0,0.0641
130,TMSNY,84.655,-2.06,-2.38,86.72
131,CNNE,19.18,-0.34,-1.74,19.52
132,NVRO,43.475,-2.49,-5.43,45.97
133,TPRKY,11.67,-0.52,-4.27,12.19
134,FND,62.155,-4.11,-6.21,66.27
135,AMSYF,23.845,0.0,0.0,23.845
136,MLI,52.43,-0.63,-1.19,53.06
137,ATRC,40.21,-0.57,-1.4,40.78
138,DECK,251.81,-8.43,-3.24,260.24
139,MAN,75.13,-1.48,-1.93,76.61
140,DBRG,4.725,0.04,0.96,4.68
141,LDSCY,8.6,0.0,0.0,8.6
142,SGMS,58.07,1.32,2.33,56.75
143,ISRG,199.45,-3.14,-1.55,202.59
144,COVTY,16.88,-0.35,-2.03,17.23
145,VCTR,23.52,-0.77,-3.17,24.29
146,IRDM,37.05,-0.37,-0.99,37.42
147,AXON,91.55,-4.09,-4.28,95.64
148,ADT,6.085,-0.11,-1.7,6.19
149,QTWO,37.32,-1.8,-4.6,39.12
150,EVR,92.75,-2.57,-2.7,95.32
151,DOCU,57.45,-3.59,-5.88,61.04
152,VEEV,196.21,-3.53,-1.77,199.74
153,ITVPF,0.77,-0.07,-8.88,0.845
154,BMI,79.42,-0.32,-0.4,79.74
155,CIBEY,1.73,0.0,0.0,1.73
156,AG,7.13,-0.41,-5.44,7.54
157,CIG-C,2.87,-0.12,-4.01,2.99
158,INPOY,2.86,0.0,0.0,2.86
159,USM,28.98,0.18,0.62,28.8
160,STVN,15.88,-0.02,-0.13,15.9
161,NUVSF,8.2,-0.3,-3.53,8.5
162,TRV,166.6,0.8,0.48,165.8
163,CIG,2.01,-0.04,-1.95,2.05
164,AETUF,12.755,-0.17,-1.35,12.93
165,SSREY,19.135,-0.3,-1.57,19.44
166,LAUR,11.275,0.03,0.22,11.25
167,SBS,7.85,-0.16,-2.0,8.01
168,CIHKY,33.29,0.28,0.85,33.01
169,GLPEY,5.764,-0.19,-3.13,5.95
170,IFJPY,12.94,0.0,0.0,12.94
171,ARZGY,8.07,0.0,0.0,8.07
172,BDORY,6.23,-0.11,-1.74,6.34
173,PDCO,30.61,-0.3,-0.97,30.91
174,RHHBY,41.44,-0.37,-0.88,41.81
175,WMMVY,33.75,-0.71,-2.06,34.46
176,CRHKY,14.28,0.0,0.0,14.28
177,BIREF,7.021,-0.08,-1.11,7.1
178,CIVI,54.43,-0.53,-0.96,54.96
179,XNGSY,65.658,0.07,0.11,65.585
180,LZAGY,52.53,-0.27,-0.51,52.8
181,TSYHY,19.265,-0.23,-1.21,19.5
182,PROSF,63.84,0.0,0.0,63.84
183,BG,92.077,0.6,0.65,91.48
184,BTGOF,2.25,-0.1,-4.26,2.35
185,ERIXF,7.33,0.0,0.0,7.33
186,KRYAY,95.88,-0.3,-0.31,96.18
187,TKOMY,58.215,-0.63,-1.08,58.85
188,PDCE,62.29,-0.66,-1.05,62.95
189,SEV,2.86,-0.08,-2.56,2.935
190,CMPI,10.5,0.0,0.0,10.5
191,CRXT,0.366,-0.01,-3.68,0.38
192,STSS,0.985,0.04,3.68,0.95
193,RELIANCE.NS,2595.65,15.5,0.6,2580.15
194,ANF,17.36,-0.38,-2.14,17.74
195,BRQS,1.739,-0.09,-4.97,1.83
196,PTPI,0.82,-0.03,-2.96,0.845
197,AJBU.SI,1.97,-0.03,-1.5,2.0
198,EICHERMOT.NS,2794.35,-92.25,-3.2,2886.6
199,PLD,116.14,-2.17,-1.83,118.31
200,LT.NS,1558.25,10.35,0.67,1547.9
201,ASML,469.34,-15.28,-3.15,484.62
202,LTI.NS,3975.45,-111.45,-2.73,4086.9
203,ASML.AS,448.8,-16.4,-3.53,465.2
204,PG,141.99,-0.21,-0.15,142.2
205,LULU,274.46,-8.52,-3.01,282.98
206,AXSM,37.359,0.87,2.38,36.49
207,BRK-A,408194.38,-2855.62,-0.69,411050.0
208,ABT,107.82,-1.28,-1.17,109.1
209,IO,0.345,-0.02,-6.68,0.3697
210,WINT,0.4398,0.02,5.52,0.4168
211,WWR,1.065,-0.03,-2.29,1.09
212,ANTM,482.58,12.71,2.71,469.87
213,NDAQ,151.885,-1.18,-0.77,153.06
214,ALVR,3.87,-0.06,-1.53,3.93
215,ARCT,15.35,-0.05,-0.32,15.4
216,FNGU,7.435,-0.7,-8.55,8.13
217,LRCX,420.855,-6.19,-1.45,427.05
218,LGF-B,8.78,-0.28,-3.09,9.06
219,LGF-A,9.24,-0.31,-3.25,9.55
220,LI,38.02,-0.06,-0.16,38.08
221,BHPLF,27.89,-0.99,-3.43,28.88
222,DUFRY,3.07,-0.27,-7.95,3.335
223,RIO,60.68,-2.25,-3.58,62.93
224,ROIV,4.3,-0.19,-4.23,4.49
225,NAVI,13.88,-0.21,-1.49,14.09
226,UPWK,19.46,-0.86,-4.23,20.32
227,AVNT,39.55,-1.11,-2.73,40.66
228,DANOY,11.0,-0.04,-0.36,11.04
229,RCI,47.81,-0.07,-0.15,47.88
230,OMC,63.06,-0.26,-0.41,63.32
231,LPX,51.59,-0.32,-0.62,51.91
232,CRH,34.21,-0.32,-0.93,34.53
233,BUD,53.49,-0.45,-0.83,53.94
234,VRTV,105.62,-1.26,-1.18,106.88
235,MKTX,258.68,-1.81,-0.69,260.49
236,KLAC,317.48,-3.09,-0.96,320.57
237,STM,30.88,-1.36,-4.22,32.24
238,ALKS,30.43,0.14,0.46,30.29
239,AZTA,70.03,-1.54,-2.15,71.57
240,FTNT,56.5,-0.67,-1.17,57.17
241,TER,89.135,-1.11,-1.24,90.25
242,BDC,53.12,-0.35,-0.65,53.47
243,VC,100.71,-5.66,-5.32,106.37
244,EXPGY,28.99,-0.29,-0.99,29.2801
245,NTAP,65.04,-0.32,-0.49,65.36
246,TT,129.69,-0.39,-0.3,130.08
247,KLIC,42.6,-0.71,-1.64,43.31
248,BNPQY,23.4,-1.29,-5.22,24.69
249,CALM,49.59,-0.46,-0.92,50.05
250,TYIDY,59.59,-1.61,-2.64,61.205
251,GRFS,11.75,0.45,3.98,11.3
252,WDC,44.36,-1.04,-2.29,45.4
253,HTHIY,93.78,-2.45,-2.55,96.23
254,ATKR,82.85,-0.65,-0.78,83.5
255,HCA,168.28,-7.39,-4.21,175.67
256,CWEN,34.38,-0.15,-0.43,34.53
257,WAL,69.77,-2.88,-3.96,72.65
258,THC,53.04,-3.54,-6.26,56.58
259,PTITF,0.43,0.0,0.0,0.43
260,FBBPF,2.39,0.0,0.0,2.39
261,BKRKF,0.275,0.0,0.0,0.275
262,REXR,57.22,-0.68,-1.17,57.9
263,NLLSF,1.23,-0.05,-4.28,1.285
264,DTRUY,12.746,-0.42,-3.22,13.17
265,LEGN,54.3,-0.14,-0.26,54.44
266,SVNDY,19.29,-0.23,-1.18,19.52
267,WTFC,78.99,-1.66,-2.06,80.65
268,FIX,80.955,-0.3,-0.36,81.25
269,HEINY,45.5,-1.13,-2.42,46.63
